Codigo,Distrito,Dimension_Economica,Dimension_Participacion,Dimension_Salud,Dimension_Educativa,IDS
11803,Sánchez,95.5,54.7,100.0,79.3,100.00
10203,San Rafael,100.0,46.1,91.4,86.2,99.50
10108,Mata Redonda,78.3,41.1,97.3,86.9,92.19
10903,Pozos,86.4,43.0,92.5,80.5,91.94
10901,Santa Ana,76.6,55.2,93.6,82.0,91.88
40802,Barrantes,64.4,68.0,75.1,100.0,91.85
10201,Escazú,73.8,49.1,89.6,87.7,90.45
11502,Sabanilla,69.8,45.2,91.3,92.4,90.24
20707,Granja,43.0,63.4,99.6,97.8,88.52
40901,San Pablo,60.8,52.5,93.4,90.4,88.30
20501,Atenas,51.5,66.9,95.9,89.2,88.24
11401,San Vicente,68.4,43.9,89.0,91.1,88.21
40902,Rincón de Sabanilla,64.9,50.9,80.3,95.0,87.53
11303,Anselmo Llorente,69.8,42.6,92.5,85.8,87.39
20701,Palmares,45.9,59.2,98.1,95.1,87.16
40302,San Vicente,72.6,56.3,63.1,95.4,87.02
11501,San Pedro,67.8,40.2,90.3,89.5,86.87
40703,Asunción,64.6,60.0,66.3,95.8,85.86
11801,Curridabat,65.0,44.6,92.0,85.1,85.57
10101,Carmen,68.9,36.0,92.5,86.0,85.55
10106,San Francisco de Dos Ríos,64.8,41.3,91.0,87.7,85.47
10105,Zapote,57.8,40.9,96.0,86.2,83.44
11101,San Isidro,58.4,49.6,89.0,85.2,83.37
11301,San Juan,56.5,39.9,92.9,89.9,83.26
11504,San Rafael,55.7,42.7,89.4,91.4,83.20
40701,San Antonio,57.8,57.2,71.7,92.0,82.57
10305,San Antonio,55.4,38.4,94.2,88.3,82.24
11104,Patalillo,55.9,45.7,91.7,84.9,82.13
10905,Piedades,59.5,49.9,84.6,84.1,82.09
20703,Buenos Aires,41.2,52.4,94.2,93.4,81.91
10904,Uruca,68.2,45.9,86.7,75.2,81.69
10802,San Francisco,43.2,52.3,94.9,90.0,81.59
40702,Ribera,57.7,56.1,73.8,88.6,81.53
30303,San Juan,64.8,42.4,78.5,85.3,81.17
40102,Mercedes,63.7,47.6,69.4,89.7,81.06
10804,Mata de Plátano,57.2,38.9,86.8,88.6,81.02
40801,San Joaquín,62.6,55.9,63.2,90.2,80.97
40301,Santo Domingo,55.1,56.2,67.2,93.8,80.67
30101,Oriental,63.4,48.9,62.7,91.3,79.92
10312,Gravilias,56.4,40.4,86.0,85.5,79.65
10801,Guadalupe,53.9,39.0,89.6,85.0,79.14
20201,San Ramón,45.9,46.5,87.4,90.1,79.13
11102,San Rafael,47.4,54.7,82.9,86.8,79.10
40205,Santa Lucía,62.2,49.7,71.0,81.9,78.37
40601,San Isidro,55.3,54.1,64.0,91.2,78.28
11503,Mercedes,67.6,46.2,86.9,66.7,78.26
11403,Trinidad,50.0,37.5,84.6,91.1,78.22
10906,Brasil,51.8,53.9,93.7,72.3,78.03
40602,San José,58.2,51.4,66.5,87.3,78.00
10202,San Antonio,55.2,43.6,86.8,79.0,77.60
10111,San Sebastián,45.9,35.2,89.1,91.3,77.41
10701,Colón,49.6,53.3,86.8,78.1,77.33
11305,Colima,53.1,37.9,88.0,83.0,77.29
40401,Santa Bárbara,47.2,53.1,66.1,95.7,77.25
30301,Tres Ríos,57.8,53.1,54.6,93.4,77.23
20505,Concepción,37.3,64.7,90.9,80.0,77.09
10803,Calle Blancos,53.6,40.4,93.2,76.6,77.05
21101,Zarcero,39.6,73.6,68.1,88.8,76.96
40201,Barva,52.3,63.7,66.5,82.0,76.50
11802,Granadilla,73.0,40.0,67.5,74.7,76.45
40305,Santo Tomás,64.1,54.4,56.4,82.9,76.40
40101,Heredia,55.7,41.6,68.3,89.4,76.06
10311,San Rafael Abajo,44.1,33.2,89.5,90.3,76.00
40501,San Rafael,51.9,44.2,67.0,92.2,75.89
11001,Alajuelita,42.4,35.5,93.0,87.1,75.57
10310,Damas,48.4,37.9,90.4,81.5,75.55
10104,Catedral,46.8,36.6,94.3,80.8,75.50
40303,San Miguel,49.4,53.2,68.2,85.2,74.67
11103,Dulce Nombre de Jesús,46.0,40.5,86.5,82.8,74.64
40603,Concepción,51.6,61.2,70.6,76.3,74.58
21103,Tapesco,34.1,82.7,68.9,81.9,74.51
30109,Dulce Nombre,49.4,46.6,65.4,90.8,74.48
20507,Santa Eulalia,30.9,55.4,92.2,84.3,74.46
20301,Grecia,45.1,49.1,66.5,92.6,74.36
30201,Paraíso,44.8,58.9,62.4,89.8,74.30
10301,Desamparados,45.7,35.9,91.3,80.6,73.96
21102,Laguna,35.6,89.0,73.4,71.8,73.89
30106,Guadalupe (Arenilla),49.3,46.8,67.7,87.2,73.74
20113,Garita,55.0,41.7,72.0,81.3,73.71
40503,Santiago,55.3,42.2,62.1,87.7,73.59
40308,Pará,43.2,43.8,65.4,96.0,73.40
20104,San Antonio,36.6,36.9,89.7,88.6,73.27
10304,San Rafael Arriba,45.8,34.7,93.0,77.9,73.10
30801,Tejar,39.2,47.6,88.5,79.9,73.05
10805,Ipís,47.2,35.5,85.7,80.7,72.86
20702,Zaragoza,35.9,53.8,81.8,83.4,72.68
21107,Brisas,28.6,81.5,76.3,77.9,72.59
10102,Merced,41.7,35.4,87.0,84.3,72.46
11602,San Pedro,20.3,100.0,92.3,62.4,72.21
40203,San Pablo,46.9,57.8,65.3,80.9,72.19
10109,Pavas,51.0,31.4,90.1,74.2,72.07
20101,Alajuela,45.8,40.0,71.5,87.7,72.03
30305,Concepción,48.1,41.7,67.2,86.5,71.60
40306,Santa Rosa,50.3,46.9,64.8,82.2,71.34
30307,San Ramón,65.3,37.7,75.4,64.7,71.20
20503,Mercedes,31.5,61.4,84.4,77.4,71.16
40402,San Pedro,41.1,48.1,64.5,90.5,71.16
20209,Alfaro,34.9,43.3,95.5,76.4,71.02
40403,San Juan,47.1,47.7,68.5,81.3,70.95
40307,Tures,35.2,53.6,73.0,86.3,70.94
10902,Salitral,44.5,53.0,83.5,69.5,70.90
40505,Concepción,50.5,41.8,75.1,76.2,70.79
20105,Guácima,36.8,45.0,88.1,78.3,70.78
40104,Ulloa,57.2,36.9,64.9,79.2,70.55
30102,Occidental,56.2,51.1,60.3,75.1,70.55
20204,Piedades Norte,29.4,46.4,96.2,77.9,70.36
20102,San José,42.4,35.6,75.6,86.5,70.35
10110,Hatillo,42.7,30.9,88.9,79.2,70.34
40406,Purabá,39.7,43.9,73.2,85.4,70.15
20203,San Juan,35.6,36.0,92.9,79.7,70.11
10401,Santiago,36.2,46.1,90.2,74.9,70.05
30603,Capellades,28.2,56.3,74.4,88.1,69.96
40202,San Pedro,42.3,50.1,68.4,81.3,69.59
20304,San Roque,34.2,58.0,64.9,87.2,69.59
20801,San Pedro,33.7,52.3,70.2,87.1,69.58
40502,San Josecito,54.8,32.4,64.7,81.2,69.26
11402,San Jerónimo,39.5,40.7,85.3,76.0,69.11
40204,San Roque,55.4,54.1,66.0,66.0,69.03
11002,San Josecito,35.9,36.7,84.8,81.7,68.83
40803,Llorente,34.3,54.2,67.0,85.8,68.82
10103,Hospital,40.4,30.3,89.2,77.2,68.58
30602,Cervantes,31.0,58.4,61.3,90.2,68.54
30103,Carmen,53.3,45.1,63.5,73.7,68.39
40404,Jesús,40.7,40.8,67.3,85.9,68.31
11804,Tirrases,36.0,37.5,81.0,82.2,68.18
40304,Paracito,46.7,52.2,58.8,78.7,68.06
21205,Rodríguez,28.0,69.8,68.7,79.0,67.87
30701,San Rafael,49.0,46.5,56.7,80.3,67.64
30108,Tierra Blanca,38.8,58.5,57.4,82.6,67.56
40504,Ángeles,55.4,38.5,63.1,73.5,67.45
30304,San Rafael,49.8,40.4,64.3,76.8,67.32
20109,Río Segundo,38.1,36.6,75.7,82.2,67.25
20108,San Rafael,43.9,32.7,66.7,85.1,67.14
21204,San Pedro,22.7,66.7,73.0,80.7,66.95
10307,Patarrá,36.3,34.7,86.4,76.4,66.89
10807,Purral,36.2,27.4,80.0,85.5,66.86
30302,San Diego,45.7,36.5,69.9,77.9,66.82
20706,Esquipulas,28.4,44.4,95.3,71.4,66.72
30204,Cachí,27.6,54.2,67.3,86.8,66.65
40103,San Francisco,55.3,33.1,61.4,75.9,66.58
30104,San Nicolás,41.0,42.9,61.7,84.0,66.56
20303,San José,29.6,51.4,70.5,83.7,66.49
21105,Palmira,23.2,84.9,61.3,76.4,66.36
20302,San Isidro,34.7,52.2,63.9,82.4,66.25
11004,Concepción,34.2,29.5,88.7,78.0,66.12
20502,Jesús,37.1,68.0,69.9,65.1,65.86
20207,San Isidro,31.8,45.0,78.5,77.9,65.84
11302,Cinco Esquinas,38.0,31.4,85.2,74.7,65.75
30702,Cot,35.4,56.8,45.3,90.7,65.53
20601,Naranjo,33.9,49.6,65.7,81.4,65.46
10408,San Antonio,27.2,40.0,95.4,71.2,65.14
10601,Aserrí,32.7,40.8,69.2,84.5,65.12
11105,Cascajal,39.3,41.6,78.8,70.2,65.07
20206,San Rafael,35.5,42.2,80.1,72.7,65.07
10302,San Miguel,34.2,29.8,79.1,81.7,64.93
21201,Sarchí Norte,30.8,61.1,66.5,75.3,64.84
40206,San José de la Montaña,41.0,61.9,64.4,66.0,64.73
11201,San Ignacio,24.2,56.3,71.4,81.0,64.70
30105,Aguacaliente (San Francisco),41.4,40.7,58.3,82.4,64.57
10107,Uruca,39.4,36.5,84.7,67.2,64.40
10308,San Cristóbal,23.8,54.8,70.1,82.3,64.36
11601,San Pablo,22.7,82.6,87.1,54.0,64.24
11005,San Felipe,34.4,32.8,84.1,73.7,63.98
12001,San Pablo,21.6,61.0,58.9,88.0,63.95
20111,Turrúcares,33.9,46.4,67.5,78.1,63.90
10306,Frailes,20.0,51.3,63.7,91.8,63.89
30205,Llanos de Santa Lucía,37.9,46.4,57.2,81.5,63.89
10403,Barbacoas,21.0,63.9,85.8,67.0,63.87
30107,Corralillo,22.4,57.5,62.4,86.5,63.85
20803,San Rafael,23.4,52.7,68.5,83.8,63.83
20605,San Jerónimo,22.8,56.6,67.1,83.0,63.81
20603,San José,23.8,56.4,64.9,83.3,63.61
20202,Santiago,31.2,47.9,66.8,79.2,63.45
30704,Cipreses,35.1,47.4,58.4,81.4,63.30
10806,Rancho Redondo,40.1,42.0,67.5,72.9,63.28
20110,Desamparados,40.5,37.5,68.4,74.5,63.25
30401,Juan Viñas,26.0,67.4,61.5,75.3,62.95
30501,Turrialba,35.8,50.5,62.4,74.6,62.81
10303,San Juan de Dios,35.4,29.0,89.1,68.0,62.67
20103,Carrizal,30.8,47.9,61.7,81.2,62.62
30601,Pacayas,31.7,58.8,61.8,73.1,62.38
40604,San Francisco,45.9,51.8,59.9,64.4,62.37
20305,Tacares,30.2,42.7,66.9,79.9,62.15
20506,San José,25.3,60.9,65.1,75.0,62.04
40405,Santo Domingo,33.1,41.8,67.0,76.9,61.91
30203,Orosi,28.9,55.4,63.5,75.2,61.80
30110,Llano Grande,33.2,41.4,53.7,86.2,61.72
20802,San Juan,27.8,46.2,72.0,75.3,61.70
20112,Tambor,30.1,42.7,64.4,79.0,61.00
10405,San Rafael,20.9,50.4,75.4,75.3,60.94
20804,Carrillos,22.9,35.7,66.4,88.6,60.87
10702,Guayabo,23.2,46.4,74.3,76.0,60.83
10604,San Gabriel,21.4,52.1,67.7,79.1,60.80
30111,Quebradilla,19.5,51.3,64.9,83.3,60.72
20704,Santiago,26.0,49.3,73.1,71.9,60.66
20307,Puente de Piedra,31.5,51.4,62.6,72.5,60.52
30308,Río Azul,26.6,27.0,79.1,79.8,60.49
10313,Los Guido,27.1,19.6,82.4,81.3,60.49
21202,Sarchí Sur,26.9,53.1,60.6,75.8,59.85
30803,Tobosi,28.6,52.0,62.0,73.7,59.84
20308,Bolívar,26.2,47.7,60.1,79.9,59.79
30509,Santa Rosa,26.1,52.7,67.1,71.5,59.63
10607,Salitrillos,29.0,37.0,63.4,80.5,59.54
20608,Palmitos,29.2,52.5,62.8,69.9,59.50
21106,Zapote,30.8,71.3,59.9,60.4,59.41
21104,Guadalupe,26.8,85.3,77.6,42.9,59.37
10501,San Marcos,26.6,49.9,59.4,77.6,59.37
20602,San Miguel,25.4,48.7,67.4,73.3,59.23
30306,Dulce Nombre,40.4,40.1,60.4,68.6,59.23
20508,Escobal,23.8,68.0,74.6,57.6,59.07
20606,San Juan,29.2,52.5,62.8,69.9,58.95
20106,San Isidro,33.3,39.8,62.8,73.4,58.94
11701,Santa María,28.1,51.8,73.4,63.1,58.72
10602,Tarbaca,43.3,50.2,66.2,53.7,58.59
10309,Rosario,19.7,47.9,83.0,66.4,58.57
10603,Vuelta de Jorco,21.2,53.0,65.6,74.3,58.42
20107,Sabanilla,24.0,42.7,59.3,81.7,58.22
20504,San Isidro,18.3,67.0,66.5,67.3,58.14
11304,León XIII,27.4,29.6,78.4,71.8,58.06
10406,Candelaria,15.6,49.4,89.0,63.8,58.02
20211,Concepción,15.8,51.1,73.1,74.2,58.00
10402,Mercedes Sur,21.5,56.1,81.3,58.1,57.47
21203,Toro Amarillo,10.9,80.1,68.6,63.6,57.46
30802,San Isidro,25.8,51.9,59.3,71.4,57.05
10703,Tabarcia,19.6,50.8,74.8,66.0,56.69
20604,Cirrí Sur,24.2,52.7,64.7,66.9,56.41
20205,Piedades Sur,20.4,59.2,72.6,60.8,56.29
20208,Ángeles,20.9,43.3,77.0,66.5,56.27
30502,La Suiza,21.3,45.2,68.6,70.3,55.91
30804,Patio de Agua,10.0,75.5,87.3,49.3,55.76
20705,Candelaria,18.6,51.6,67.1,69.4,55.58
30202,Santiago,25.5,48.3,60.1,68.7,55.24
30402,Tucurrique,14.8,68.1,63.3,65.0,55.15
20607,Rosario,23.0,57.6,53.7,69.9,55.07
12006,San Antonio,10.9,61.8,61.2,72.4,54.45
30403,Pejibaye,15.6,69.3,57.1,65.7,54.24
11003,San Antonio,29.7,39.0,73.8,56.1,53.68
10705,Picagres,18.5,65.6,69.1,54.7,53.61
30511,La Isabel,18.6,52.4,63.1,66.8,53.60
11203,Palmichal,15.5,50.6,70.9,64.8,53.48
30506,Pavones,18.3,43.9,66.5,69.2,53.42
20210,Volio,22.9,42.3,71.8,61.6,53.38
30703,Potrero Cerrado,32.8,43.3,52.2,65.3,53.32
10404,Grifo Alto,18.9,53.6,74.1,56.5,53.15
30705,Santa Rosa,28.2,32.1,61.0,68.6,52.70
10704,Piedras Negras,8.1,59.9,71.6,62.8,52.12
10706,Jaris,18.5,65.6,69.1,54.7,52.10
30505,Santa Teresita,11.0,49.2,72.4,64.3,51.58
20805,Sabana Redonda,15.1,32.6,53.6,83.6,51.45
11703,Copey,17.0,61.5,60.1,59.2,51.26
40105,Varablanca,22.5,57.3,77.0,42.0,50.55
10407,Desamparaditos,23.2,48.3,62.6,56.4,50.19
12005,Santa Cruz,10.8,64.0,46.7,69.6,49.66
11202,Guaitil,12.5,43.3,71.7,61.4,49.42
10606,Monterrey,9.4,55.7,65.4,60.4,48.91
11605,Carara,8.9,79.2,77.7,36.3,48.35
10502,San Lorenzo,16.5,43.9,59.2,59.9,46.92
11702,Jardín,13.7,29.8,75.0,56.1,45.56
11603,San Juan de Mata,12.7,66.6,69.3,39.1,45.54
30504,Santa Cruz,20.2,41.9,64.0,49.9,45.39
12004,San Isidro,11.9,52.5,63.7,51.6,45.23
12002,San Andrés,10.0,51.2,50.4,64.0,45.20
12003,Llano Bonito,8.7,62.8,57.1,52.5,44.80
30507,Tuis,12.9,50.6,72.9,42.6,44.27
30508,Tayutic,14.5,53.9,56.1,49.1,43.37
30510,Tres Equis,14.1,43.6,58.4,54.0,43.34
10605,Legua,8.7,61.2,53.1,50.7,42.60
20212,Zapotal,4.9,67.3,64.5,41.6,42.18
11604,San Luis,6.2,80.0,68.3,26.9,41.03
30503,Peralta,6.8,49.3,72.8,39.5,40.31
10503,San Carlos,11.2,42.6,41.6,61.8,40.22
11204,Cangrejal,5.4,40.3,67.6,49.9,40.21
10409,Chires,9.3,44.2,68.7,40.8,39.37
11205,Sabanillas,6.7,45.1,71.0,32.7,36.05
30512,Chirripó,0.0,0.0,36.7,0.0,0.00
11903,Daniel Flores,26.6,44.4,93.5,80.3,68.94
11901,San Isidro de El General,28.2,45.5,89.9,73.0,65.92
11902,General,30.1,56.1,77.5,72.8,65.54
60801,San Vito,20.3,36.7,83.8,76.1,60.20
60501,Puerto Cortés,32.5,46.7,87.3,45.7,56.39
61002,La Cuesta,25.3,18.1,85.1,63.7,53.30
60803,Aguabuena,15.1,36.0,86.4,60.4,52.57
11904,Rivas,14.3,60.6,64.7,62.2,52.49
60504,Bahía Ballena,30.0,42.0,66.8,51.8,50.82
11906,Platanares,10.7,57.6,66.7,59.0,49.71
60701,Golfito,30.1,26.1,73.2,53.6,49.65
60502,Palmar,21.7,39.5,85.2,45.2,49.64
11909,Barú,21.5,47.4,87.2,37.4,48.98
11911,Páramo,12.1,54.9,70.1,54.4,48.79
60309,Brunka,13.8,41.4,75.1,55.1,47.99
11905,San Pedro,11.7,46.4,62.0,61.8,47.19
60301,Buenos Aires,18.6,33.6,78.1,50.7,47.16
11908,Cajón,12.3,41.4,65.7,60.8,46.90
60703,Guaycará,23.8,29.5,83.4,43.3,46.89
11910,Río Nuevo,10.1,61.1,64.7,51.7,46.88
61001,Corredor,27.9,29.2,78.2,43.0,46.77
60802,Sabalito,15.4,28.0,78.3,53.3,45.68
60702,Puerto Jiménez,20.5,39.3,77.1,42.0,45.53
11907,Pejibaye,9.1,46.5,76.4,48.6,45.15
60302,Volcán,10.6,37.4,60.6,63.1,44.72
60506,Bahía Drake,9.3,38.0,61.4,36.6,44.50
61003,Canoas,21.8,14.1,75.2,54.0,44.30
61004,Laurel,17.9,28.0,72.1,46.5,42.18
60308,Biolley,8.2,38.5,63.8,46.6,38.48
60805,Pittier,7.8,43.9,71.5,33.9,36.86
60804,Limoncito,11.7,36.9,69.6,32.0,35.39
60304,Boruca,13.2,27.7,67.4,34.8,34.29
60505,Piedras Blancas,9.3,38.0,61.4,36.6,34.17
60306,Colinas,7.9,23.7,75.2,34.2,33.25
60503,Sierpe,18.6,38.4,65.5,20.9,32.93
60307,Chánguena,5.3,37.1,65.7,31.8,31.74
60303,Potrero Grande,6.3,40.2,62.1,31.2,31.56
60305,Pilas,7.5,42.2,59.6,24.3,29.07
60704,Pavón,13.7,31.4,53.1,22.4,26.39
50305,Cartagena,30.9,48.8,91.3,91.2,75.31
50801,Tilarán,33.5,60.5,92.3,76.4,73.58
50501,Filadelfia,35.4,57.8,83.3,81.9,73.24
50502,Palmira,31.9,55.6,81.0,75.9,68.33
50901,Carmona,29.9,86.2,75.6,61.5,67.58
50101,Liberia,38.7,34.8,85.5,76.3,67.57
50301,Santa Cruz,34.0,46.0,83.8,74.2,67.06
50503,Sardinal,31.5,42.1,86.1,77.2,66.99
51101,Hojancha,26.9,82.8,87.2,56.6,66.97
50307,Diriá,23.2,64.8,80.6,74.6,66.46
50102,Cañas Dulces,28.8,57.0,81.3,69.5,65.05
50704,Colorado,20.4,73.7,84.9,64.9,64.84
50302,Bolsón,16.9,59.3,95.2,67.7,64.21
50601,Cañas,33.2,40.5,86.5,65.5,62.80
51104,Huacas,9.0,85.7,71.7,72.5,62.45
50504,Belén,21.7,48.5,83.1,72.4,61.85
51103,Puerto Carrillo,17.6,76.0,74.5,62.7,60.46
50806,Tierras Morenas,21.1,58.7,87.0,60.2,60.35
51001,La Cruz,23.9,61.1,72.0,66.7,60.29
50308,Cabo Velas,36.3,43.7,72.0,60.0,58.44
50309,Tamarindo,37.8,43.6,72.6,57.5,58.20
50304,Tempate,31.0,45.7,74.0,61.5,57.97
50202,Mansión,21.2,54.5,78.8,60.6,57.21
50401,Bagaces,24.3,41.9,74.1,68.2,57.09
50807,Arenal,29.8,58.8,69.2,55.9,57.01
50201,Nicoya,25.4,47.9,82.9,55.9,56.67
50902,Santa Rita,17.3,82.5,80.0,45.0,56.47
50104,Nacascolo,20.9,34.7,77.2,72.0,56.46
50403,Mogote,26.0,47.6,73.2,61.7,56.31
50206,Nosara,34.1,45.4,57.5,65.6,55.99
51102,Monte Romo,8.7,88.0,69.7,56.1,55.79
50303,Veintisiete de Abril,26.0,50.4,77.3,55.2,55.62
50804,Santa Rosa,23.4,46.0,85.4,53.4,55.17
50805,Líbano,14.0,78.1,87.5,41.8,55.09
51004,Santa Elena,18.6,64.6,66.9,58.0,54.13
50905,Porvenir,14.6,78.6,70.5,49.5,53.57
50404,Río Naranjo,15.5,55.7,81.8,53.3,53.24
50105,Curubandé,26.9,41.1,85.7,46.3,52.67
50703,San Juan,16.6,59.2,65.1,58.9,51.91
50802,Quebrada Grande,21.4,62.5,67.3,48.9,51.28
50904,San Pablo,14.1,73.3,73.0,45.3,51.16
50903,Zapotal,19.0,76.1,73.5,37.7,50.92
50604,Bebedero,26.7,38.7,58.7,63.3,50.90
50103,Mayorga,21.4,38.1,74.6,56.8,50.72
50803,Tronadora,25.4,55.9,69.8,44.4,50.23
50204,Quebrada Honda,16.0,59.2,64.9,54.8,50.00
50701,Juntas,25.2,59.7,51.6,53.9,49.53
50402,Fortuna,23.0,47.1,62.6,52.8,48.45
50306,Cuajiniquil,34.4,67.4,67.8,23.8,47.82
50702,Sierra,18.8,61.0,66.6,43.9,47.71
50906,Bejuco,21.8,61.3,69.5,36.8,47.00
50602,Palmira,10.4,62.0,84.9,34.6,46.31
50205,Sámara,34.4,34.6,62.5,43.4,46.24
50203,San Antonio,13.6,55.8,52.6,54.7,44.69
50603,San Miguel,23.5,52.3,51.4,47.7,44.60
50605,Porozal,16.3,80.1,43.1,39.7,42.83
50207,Belén de Nosarita,9.5,70.3,60.7,36.6,41.68
51003,Garita,11.3,53.9,52.5,44.9,39.40
51002,Santa Cecilia,6.5,33.1,58.8,48.8,35.96
70201,Guápiles,31.2,39.9,84.3,80.8,67.25
70202,Jiménez,24.5,45.8,77.3,74.2,61.40
70601,Guácimo,19.7,36.6,86.3,68.1,57.51
70301,Siquirres,22.3,31.8,76.2,70.7,55.52
70502,Batán,17.1,49.5,68.0,63.2,52.34
70306,Alegría,18.9,47.4,70.8,60.4,52.26
70602,Mercedes,30.9,53.8,76.4,39.0,51.69
70403,Cahuita,29.2,42.9,70.2,49.3,50.71
70101,Limón,33.5,27.9,67.3,55.6,50.49
70205,Cariari,16.7,34.2,74.6,60.0,49.18
70501,Matina,13.0,50.5,64.0,60.7,48.83
70103,Río Blanco,17.8,30.0,67.3,64.8,48.43
70304,Germania,16.4,41.4,68.3,58.6,48.41
70503,Carrandi,13.3,50.4,64.4,58.5,48.16
70604,Río Jiménez,14.1,37.3,67.7,62.3,47.82
70605,Duacarí,12.4,37.4,67.9,62.9,47.45
70603,Pocora,16.5,33.7,69.2,58.9,47.04
70204,Roxana,13.4,29.2,71.6,62.8,46.93
70207,Colonia,13.4,29.2,71.6,62.8,45.30
70305,Cairo,15.3,36.5,64.6,56.6,44.97
70203,Rita,14.0,34.5,72.5,51.9,44.41
70303,Florida,16.0,50.4,55.8,48.4,42.81
70104,Matama,17.5,35.6,64.3,48.8,42.51
70402,Sixaola,12.0,46.2,54.7,52.4,41.48
70302,Pacuarito,13.9,25.3,60.9,56.9,40.85
70401,Bratsi,12.0,55.2,50.8,32.4,34.62
70102,Valle La Estrella,13.0,30.4,53.2,25.9,27.28
70206,Colorado,14.8,16.0,52.4,27.0,24.78
70404,Telire,0.4,47.1,41.2,20.6,20.74
21001,Quesada,41.6,53.8,65.6,74.1,66.59
21005,Venecia,26.3,55.4,66.5,75.2,61.62
21009,Palmera,28.8,61.0,63.5,70.8,61.32
21002,Florencia,27.2,52.3,67.8,70.6,59.80
21008,Tigra,17.9,67.3,70.7,67.7,59.42
21003,Buenavista,25.4,69.4,46.7,71.1,57.26
21007,Fortuna,29.4,43.6,64.7,67.3,56.42
20213,Peñas Blancas,17.2,64.3,64.3,65.4,55.65
21004,Aguas Zarcas,26.8,46.1,65.1,64.8,55.12
20114,Sarapiquí,15.2,47.8,61.0,76.7,54.47
21301,Upala,20.4,44.0,65.6,64.5,52.18
41003,Horquetas,17.3,40.3,66.5,66.5,51.11
21304,Bijagua,16.0,51.5,66.7,60.5,50.90
21308,Canalete,16.0,51.5,66.7,60.5,50.90
21012,Monterrey,23.5,68.4,59.6,46.6,50.35
21006,Pital,23.0,45.2,60.9,58.1,49.60
21402,Caño Negro,11.1,52.0,68.2,55.6,47.64
21010,Venado,19.4,63.0,66.3,41.1,47.21
21302,Aguas Claras,11.9,45.5,69.5,55.0,46.55
21501,San Rafael,17.1,53.7,63.4,46.1,45.26
21502,Buenavista,10.1,54.4,64.9,51.0,45.03
21504,Katira,15.7,45.5,63.4,49.9,44.28
41002,La Virgen,14.8,38.4,61.5,55.9,44.05
21401,Los Chiles,16.4,52.4,68.2,39.3,43.37
21305,Delicias,7.6,42.9,60.3,58.3,42.89
41001,Puerto Viejo,19.2,29.4,54.3,56.3,41.75
21013,Pocosol,15.8,49.7,59.9,42.8,41.49
21307,Yolillal,10.6,46.5,63.1,46.4,41.05
21404,San Jorge,11.9,56.6,69.0,34.4,40.92
21011,Cutris,17.3,55.7,52.9,38.8,39.95
20306,Río Cuarto,12.6,25.7,58.1,57.7,39.90
21403,El Amparo,13.2,50.8,56.8,39.8,38.66
21306,Dos Ríos,5.9,29.8,63.4,54.1,38.37
21503,Cote,10.2,50.3,59.0,38.3,37.42
21303,San José (Pizote),9.8,30.0,52.1,40.3,31.29
41004,Llanuras del Gaspar,9.0,38.2,36.1,16.1,18.75
41005,Cureña,5.7,43.5,0.0,17.8,8.96
60203,Macacona,37.9,58.8,90.0,75.4,73.85
20901,Orotina,36.1,52.7,66.6,87.3,69.66
20403,Jesús María,19.1,58.2,94.5,80.0,69.41
60115,El Roble,39.3,33.8,85.0,76.7,67.59
60201,Espíritu Santo,32.7,54.8,79.9,72.9,67.00
20401,San Mateo,28.7,67.3,94.2,56.6,66.07
60109,Monte Verde,33.5,57.7,81.6,58.2,62.65
60101,Puntarenas,43.1,42.3,91.0,50.2,62.37
61101,Jacó,38.8,43.0,80.9,60.5,61.98
20404,Labrador,22.0,75.9,81.0,45.8,61.70
60601,Quepos,38.2,39.9,83.1,57.9,60.67
60401,Miramar,32.6,54.5,66.9,63.1,59.22
60108,Barranca,25.6,27.1,90.2,66.5,58.13
20903,Hacienda Vieja,32.0,47.3,58.1,70.7,57.77
20402,Desmonte,22.0,75.9,81.0,45.8,57.43
60403,San Isidro,23.2,61.2,72.5,59.0,57.16
60202,San Juan Grande,23.8,48.1,79.3,61.1,57.06
60204,San Rafael,21.6,72.5,70.8,51.2,55.63
20902,Mastate,26.0,46.8,75.9,56.3,54.79
61102,Tárcoles,29.5,43.1,69.2,59.1,54.42
20905,Ceiba,20.3,49.4,72.1,61.7,54.13
20904,Coyolar,21.1,40.1,73.0,62.5,52.87
60111,Cóbano,26.9,43.5,76.3,51.2,52.45
60104,Lepanto,18.2,48.0,79.1,53.5,51.83
60102,Pitahaya,13.5,38.2,93.1,52.3,51.20
60114,Acapulco,23.6,45.5,70.9,53.6,51.03
60205,San Jerónimo,12.7,65.0,89.1,39.4,51.00
60901,Parrita,24.7,61.9,66.7,44.9,50.69
60106,Manzanillo,11.6,34.3,73.7,68.4,50.24
60112,Chacarita,27.0,26.4,76.3,55.5,50.14
60603,Naranjito,22.7,46.1,64.4,53.4,48.84
60602,Savegre,27.4,58.1,63.0,40.2,47.94
60105,Paquera,24.8,48.5,69.8,42.7,47.60
60107,Guacimal,10.7,57.5,74.1,39.0,43.94
60113,Chira,12.0,47.7,51.8,56.7,42.69
60402,Unión,7.4,70.2,57.9,41.0,41.74
60103,Chomes,14.7,29.9,66.3,46.0,39.51
60116,Arancibia,2.4,72.2,51.6,38.6,37.45
